VerticeArr,EdgeArr,TimeAdjMatrix,TimeAdjList
50,2000,3753,46756
51,2000,3366,12377
52,2000,3668,11781
53,2000,3868,12229
54,2000,4677,14256
55,2000,3997,11960
56,2000,4130,11782
57,2000,4501,11946
58,2000,4538,12555
59,2000,4620,12543
60,2000,4878,12392
61,2000,5036,12256
62,2000,5130,12242
63,2000,6364,14820
64,2000,5751,13778
65,2000,5802,13135
66,2000,5815,13253
67,2000,6079,13727
68,2000,6215,13079
69,2000,6177,13275
70,2000,6718,13867
71,2000,6623,13043
72,2000,6862,14138
73,2000,6871,13391
74,2000,7387,14372
75,2000,7218,12890
76,2000,8552,14574
77,2000,8251,14408
78,2000,7609,13015
79,2000,8055,14730
80,2000,8026,13489
81,2000,8209,13546
82,2000,8196,13677
83,2000,8726,14264
84,2000,8853,14569
85,2000,9183,14116
86,2000,9151,15525
87,2000,9379,14312
88,2000,9421,14054
89,2000,9574,14211
90,2000,10036,15187
91,2000,10068,14505
92,2000,10333,14205
93,2000,10199,14240
94,2000,10595,15252
95,2000,10793,14551
96,2000,11200,14628
97,2000,11315,14594
98,2000,11489,14830
99,2000,11681,15387
100,2000,11973,15290
101,2000,12001,14594
102,2000,12107,16054
103,2000,12442,15457
104,2000,12950,15017
105,2000,15039,18949
106,2000,16273,20071
107,2000,13908,16446
108,2000,13689,15155
109,2000,13793,15726
110,2000,13946,16094
111,2000,14094,14751
112,2000,14434,16184
113,2000,14590,16236
114,2000,14979,16018
115,2000,15304,16331
116,2000,15264,16722
117,2000,15503,15616
118,2000,16291,17547
119,2000,16397,16178
120,2000,17382,17778
121,2000,16968,16949
122,2000,16901,16720
123,2000,18402,17529
124,2000,17959,16579
125,2000,17765,17309
126,2000,17857,16414
127,2000,18178,16428
128,2000,18767,17539
129,2000,18499,16852
130,2000,19210,17344
131,2000,19349,18236
132,2000,19825,17369
133,2000,20026,17191
134,2000,19961,16766
135,2000,20090,17253
136,2000,20592,16890
137,2000,20984,18012
138,2000,21017,17497
139,2000,21578,17301
140,2000,21966,17706
141,2000,22093,17857
142,2000,26141,21278
143,2000,23579,18727
144,2000,23587,18644
145,2000,23547,17751
146,2000,23925,19001
147,2000,24645,19742
148,2000,26806,20981
149,2000,25816,21356
150,2000,25575,20251
151,2000,25909,18340
152,2000,27127,20483
153,2000,26298,19789
154,2000,29594,22108
155,2000,27269,19488
156,2000,27350,18848
157,2000,27292,19859
158,2000,34115,25477
159,2000,29180,19818
160,2000,29894,19380
161,2000,31772,19680
162,2000,32667,22735
163,2000,32481,20404
164,2000,36161,24178
165,2000,33680,21063
166,2000,34204,22989
167,2000,34070,20294
168,2000,35183,21490
169,2000,35979,22643
170,2000,35480,22295
171,2000,37224,23977
172,2000,36797,22555
173,2000,37827,24342
174,2000,37365,22165
175,2000,38937,24359
176,2000,38697,23426
177,2000,40212,24556
178,2000,39930,24210
179,2000,41321,25745
180,2000,41166,25036
181,2000,42136,24987
182,2000,44357,24685
183,2000,41413,22613
184,2000,44377,25450
185,2000,45037,27587
186,2000,45132,25894
187,2000,46730,28609
188,2000,45396,26023
189,2000,46295,24826
190,2000,47366,26354
191,2000,48580,26915
192,2000,48240,27040
193,2000,48572,27314
194,2000,48356,25459
195,2000,49406,28300
196,2000,50022,30161
197,2000,52212,28324
198,2000,50643,28401
199,2000,52147,28891
200,2000,52781,27073
201,2000,53040,28069
202,2000,55536,30880
203,2000,64532,36977
204,2000,55801,29764
205,2000,57626,31073
206,2000,56967,31741
207,2000,57174,29715
208,2000,57556,28326
209,2000,57798,29713
210,2000,61038,31253
211,2000,63420,30246
212,2000,71219,37655
213,2000,62296,29292
214,2000,60509,28345
215,2000,63308,30502
216,2000,63205,33296
217,2000,64053,32187
218,2000,64332,32889
219,2000,64725,32805
220,2000,64804,32462
221,2000,66158,31799
222,2000,64935,31033
223,2000,69100,33734
224,2000,67445,31095
225,2000,68586,33121
226,2000,68847,36045
227,2000,70197,33243
228,2000,71808,34925
229,2000,74226,34675
230,2000,71132,32898
231,2000,73015,37223
232,2000,74044,33919
233,2000,71963,32718
234,2000,73078,32161
235,2000,75973,33745
236,2000,75767,35032
237,2000,76134,34071
238,2000,76767,34568
239,2000,78025,36169
240,2000,78315,36133
241,2000,79816,35516
242,2000,82112,37403
243,2000,81478,37653
244,2000,79917,34152
245,2000,81640,37075
246,2000,82574,37878
247,2000,82293,36561
248,2000,84169,37802
249,2000,84072,35078
250,2000,86092,38554
